No alignment stars matched for image 3, jw02875012001_02101_00001_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 20, jw02875012001_04101_00001_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 15, jw02875012001_02101_00004_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 11, jw02875012001_02101_00003_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 27, jw02875012001_04101_00003_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 19, jw02875012001_04101_00001_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 18, jw02875012001_04101_00001_nrcb2_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 7, jw02875012001_02101_00002_nrcb3_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 14, jw02875012001_02101_00004_nrcb2_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 26, jw02875012001_04101_00003_nrcb2_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 31, jw02875012001_04101_00004_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 30, jw02875012001_04101_00004_nrcb2_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 23, jw02875012001_04101_00002_nrcb3_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 32, jw02875012001_04101_00004_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 28, jw02875012001_04101_00003_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 16, jw02875012001_02101_00004_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 12, jw02875012001_02101_00003_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 24, jw02875012001_04101_00002_nrcb4_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 22, jw02875012001_04101_00002_nrcb2_cal (NIRCAM_F150W, 536.8 sec)
No alignment stars matched for image 8, jw02875012001_02101_00002_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 4, jw02875012001_02101_00001_nrcb4_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 10, jw02875012001_02101_00003_nrcb2_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 2, jw02875012001_02101_00001_nrcb2_cal (NIRCAM_F090W, 429.5 sec)
No alignment stars matched for image 6, jw02875012001_02101_00002_nrcb2_cal (NIRCAM_F090W, 429.5 sec)
Only 0 stars for PSF measurement in image 2, jw02875012001_02101_00001_nrcb2_cal (NIRCAM_F090W, 429.5 sec)
